category,username,personality,values,needs
travel,ricksteves,Conscientiousness,Practicality,Hedonism
travel,johnnyjet,Emotional range,Closeness,Self-transcendence
travel,elitetravelgal,Agreeableness,Curiosity,Openness to change
travel,jonostrower,Emotional range,Closeness,Self-transcendence
restaurants,alisoncook,Openness,Excitement,Conservation
restaurants,thejgold,Openness,Liberty,Self-transcendence
restaurants,michaelbauer1,Openness,Liberty,Conservation
restaurants,tomsietsema,Extraversion,Excitement,Conservation
sports,jadande,Emotional range,Harmony,Self-transcendence
sports,josecanseco,Extraversion,Stability,Self-transcendence
sports,billbarnwell,Agreeableness,Harmony,Self-transcendence
sports,michelleDbeadle,Conscientiousness,Challenge,Conservation
shoes,pursuitofshoes,Extraversion,Ideal,Self-enhancement
shoes,highheels,Extraversion,Structure,Self-enhancement
travel,billgates,,,
travel,JochenZeitz,,,
travel,natgeo,,,
travel,wingtorn,,,
travel,Jonathan_Soroff,Openness,Harmony,Self-transcendence
restaurants,gaelgreene,Openness,Challenge,Self-enhancement